id2.2013,typ_border,trust_natgov,trust_eu,eqi_2013,Competitiveness,Convergence,Cooperation,Multi.Objective,Less.Developed,Transition,More.Developed,unemployment_2013,education_2013,soc_idx,migration_2013,sgi_aggregated,agr_share,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk
AT11,1,52.85714285714286,37.142857142857146,1.048362,0,1,1,0,0,1,0,4.3,15.8,69.9,6,-3,4.5,25.8,35.48,30.64,8.06,22.03,40.67,37.28,0
AT13,1,46.09218436873748,44.68937875751503,0.465641,1,0,1,0,0,0,1,9.2,30.6,73.11,12.5,9.44,0.6,41.07,27.57,30.55,0.79,58.57,30.96,8.87,1.57
AT21,1,17.318435754189945,14.52513966480447,0.870488,1,0,1,0,0,0,1,5.5,17.3,71.24,2.6,-1.37,5.1,17.17,27.6,54.6,0.61,30.28,52.11,17.6,0
AT22,2,24.88479262672811,28.57142857142857,1.11828,1,0,1,0,0,0,1,4.7,17.5,73.82,4.5,1.02,7.3,18.18,33.83,47.47,0.5,32.04,44.75,23.2,0
AT31,2,35.1010101010101,19.19191919191919,0.990609,1,0,1,0,0,0,1,4.3,17.2,72.12,4.8,0.68,6.2,14.04,30.26,51.57,4.11,37.04,38.63,22.5,1.81
AT33,1,25.735294117647058,27.205882352941174,1.372768,1,0,1,0,0,0,1,3.1,19.1,75.13,6.1,-0.16,4.6,22.22,34.02,42.36,1.38,42.05,40.18,16.82,0.93
BG31,2,22.54901960784314,52.450980392156865,-2.02038,0,1,1,0,1,0,0,14,19.4,40.62,-5.4,-7.4,8.9,51.2,36.71,10.62,1.44,50.48,25.48,20.19,3.84
BG32,2,28.448275862068968,40.51724137931034,-1.3914,0,1,1,0,1,0,0,15.3,22,46.22,-2.6,-6.68,8.5,42.85,38.83,14.73,3.57,39.28,39.28,16.96,4.46
BG33,2,18.115942028985508,52.17391304347826,-0.11087,0,1,1,0,1,0,0,16.8,25.2,45.67,1,-6.58,8.7,50.69,32.29,15.97,1.04,41.66,29.86,27.43,1.04
BG34,2,20,38.70967741935484,-1.59154,0,1,0,0,1,0,0,13,20.5,39.72,0.1,-7.59,8.8,42.63,36.36,20.37,0.62,43.61,17.13,33.02,6.23
BG41,2,22.22222222222222,45.26143790849673,-2.59795,0,1,1,0,1,0,0,9.8,35.1,50.7,3.1,-3.31,3.6,45.12,30.03,22.24,2.59,50.32,23.85,22.87,2.94
BG42,2,28.235294117647058,48.705882352941174,-0.94029,0,1,1,0,1,0,0,13.5,20.5,44.22,-1.5,-6.68,11.2,56.4,32.26,10.34,0.98,45.78,30.84,19.27,4.09
CY00,1,23.55289421157685,20.55888223552894,0.230092,0,0,1,1,0,0,1,15.9,39.3,58.98,-14,-3.88,3.1,24.37,35.76,38.86,0.99,28.3,42.4,28.2,1.1
CZ01,0,29.533678756476682,22.797927461139896,-0.33596,1,1,1,1,0,0,1,3.1,38.4,65.85,-4.3,5.36,0.4,25.53,42.55,31.38,0.53,37.76,37.76,20.6,3.86
CZ02,0,16.52542372881356,33.05084745762712,-0.28528,0,1,1,1,1,0,0,5.2,19.9,59.09,7.1,-4.73,3.1,32.48,48.54,18.24,0.72,32.03,43.29,22.51,2.16
CZ03,1,24.63054187192118,25.615763546798032,-0.13564,0,1,1,1,1,0,0,5.2,18,63.2,1.4,-3.06,5,22.84,52.28,23.85,1.01,28.42,46.7,23.85,1.01
CZ05,1,29.372937293729372,23.432343234323433,-0.18258,0,1,1,1,1,0,0,8.3,16.8,61.54,-0.5,-3.6,4.2,27.21,41.49,30.95,0.34,26.78,50,22.14,1.07
CZ06,1,43.47826086956522,37.10144927536232,-0.06521,0,1,1,1,1,0,0,6.8,22.6,63.55,-0.1,-0.83,4.6,32.47,38.79,27.58,1.14,39.6,31.62,25.07,3.7
CZ07,1,21.5311004784689,27.751196172248804,-0.25007,0,1,1,1,1,0,0,8,16.2,61.41,-1.1,-3,3.7,28.29,30.24,40,1.46,43.13,25.49,28.92,2.45
DE80,2,36.84210526315789,30.263157894736842,0.830991,0,1,1,0,0,1,0,10,26.3,71.09,18.9,-0.16,3.1,29.81,45.34,22.36,2.48,45.27,45.27,9.45,0
DEE0,0,34.26573426573427,20.97902097902098,0.374654,0,1,1,0,0,1,0,9.1,25.7,69.18,15.6,0.46,2.3,17.91,50,31.34,0.74,44.66,40,14.66,0.66
